City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Popondetta,PG,2022-09-28 21:48:09,-8.7537,148.2534,81.86,67,83,1.41
1,The Pas,CA,2022-09-28 21:45:36,53.8251,-101.2541,68.02,45,0,12.66
2,Ushuaia,AR,2022-09-28 21:44:08,-54.8,-68.3,56.86,44,20,19.57
3,Los Llanos De Aridane,ES,2022-09-28 21:48:16,28.6585,-17.9182,70.12,96,100,11.5
4,East London,ZA,2022-09-28 21:48:18,-33.0153,27.9116,66.51,85,99,9.89
5,Mataura,NZ,2022-09-28 21:48:21,-46.1927,168.8643,49.48,99,100,3.33
6,Hasaki,JP,2022-09-28 21:48:23,35.7333,140.8333,68.4,57,100,2.64
7,Charters Towers,AU,2022-09-28 21:48:26,-20.1,146.2667,65.52,79,98,5.61
8,Upernavik,GL,2022-09-28 21:48:28,72.7868,-56.1549,30.47,92,100,8.7
9,Kaspiysk,RU,2022-09-28 21:48:31,42.8816,47.6392,62.78,88,89,6.71
10,Bluff,NZ,2022-09-28 21:48:37,-46.6,168.3333,49.8,83,100,12.55
11,Qaanaaq,GL,2022-09-28 21:48:40,77.484,-69.3632,26.65,93,100,8.12
12,Kaitangata,NZ,2022-09-28 21:48:44,-46.2817,169.8464,48.18,95,100,9.89
13,Timmins,CA,2022-09-28 21:48:46,48.4669,-81.3331,40.82,60,75,6.91
14,Tuktoyaktuk,CA,2022-09-28 21:48:48,69.4541,-133.0374,30.2,80,75,3.44
15,Rikitea,PF,2022-09-28 21:48:51,-23.1203,-134.9692,72.39,62,99,15.08
16,Makakilo City,US,2022-09-28 21:48:53,21.3469,-158.0858,86.32,51,20,13.8
17,Zyryanka,RU,2022-09-28 21:48:56,65.75,150.85,30.38,68,100,7.94
18,Pevek,RU,2022-09-28 21:48:59,69.7008,170.3133,26.55,74,96,6.44
19,Ribeira Grande,PT,2022-09-28 21:48:32,38.5167,-28.7,70.18,70,98,13.96
20,Ahipara,NZ,2022-09-28 21:49:03,-35.1667,173.1667,61.63,78,100,12.64
