,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
3,Saint Anthony,US,75.92,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
11,Guerrero Negro,MX,75.43,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
19,Atuona,PF,76.55,few clouds,-9.8,-139.0333,Villa Enata
26,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
27,Ca Mau,VN,76.55,heavy intensity rain,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
30,Bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Muroto-misakicho,JP,75.76,scattered clouds,33.2833,134.15,Oota Ryokan
33,Sinnamary,GF,80.08,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
38,San Policarpo,PH,81.34,overcast clouds,12.1791,125.5072,Agapita M. Nicart
40,Taitung City,TW,78.46,clear sky,22.7583,121.1444,Taitung Bali Suites Hotel
43,São Filipe,CV,78.19,overcast clouds,14.8961,-24.4956,Hotel Xaguate
45,Lake Shasta,US,89.76,broken clouds,40.6804,-122.3708,Shasta Dam Motel
47,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Garoowe,SO,75.24,overcast clouds,8.4054,48.4845,Curubo Hotel
52,Russellville,US,81.99,clear sky,35.2784,-93.1338,Hampton Inn Russellville
58,Kavaratti,IN,80.91,overcast clouds,10.5669,72.642,Green leaf
60,Kavieng,PG,83.77,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
61,Nouakchott,MR,84.13,scattered clouds,18.0858,-15.9785,HOTEL IMAN
62,Hurghada,EG,80.74,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
63,Hong Kong,HK,84.38,scattered clouds,22.2855,114.1577,Mini Central
64,Mahibadhoo,MV,81.97,overcast clouds,3.7833,72.9667,Omadhoo Inn
69,Wattegama,LK,76.86,moderate rain,6.7989,81.4808,
79,Trat,TH,80.82,overcast clouds,12.5,102.5,สวนหนิง-อัศ
81,Lamar,US,84.88,clear sky,33.6668,-95.5836,Kings Inn Paris TX
85,Araguaína,BR,86.13,scattered clouds,-7.1911,-48.2072,Hotel São Vicente
86,Dwārka,IN,81.0,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
93,Māngrol,IN,79.48,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
97,Kieta,PG,82.45,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
101,Bonanza,NI,76.98,overcast clouds,14.0289,-84.591,Edificio Administrativo HEMCO
103,Wanning,CN,79.11,broken clouds,18.8003,110.3967,Paradise Hotel
105,Amānpur,IN,79.03,overcast clouds,27.7167,78.75,Shri Devarishi maharaj ashram banupur
108,Kiryat Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
111,Butaritari,KI,81.0,light rain,3.0707,172.7902,Isles Sunset Lodge
116,Road Town,VG,84.29,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
119,San Patricio,US,85.17,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
120,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
121,Sorong,ID,79.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
124,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
125,Naze,JP,76.12,clear sky,28.3667,129.4833,Shishime Hotel
127,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
128,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
130,Riachão,BR,84.76,scattered clouds,-7.3619,-46.6172,Pousada Nordestina
140,Kāsaragod,IN,75.06,overcast clouds,12.5,75.0,Thalathoor Heritage
142,Port Blair,IN,77.27,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
143,Bilma,NE,87.69,clear sky,18.6853,12.9164,Expeditions Ténére voyages
153,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
156,Wad Rāwah,SD,85.37,few clouds,15.1603,33.1397,حوش جلي ودراوة
165,Porto-Novo,BJ,76.68,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
166,Sittwe,MM,77.2,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
168,Tarata,BO,76.42,broken clouds,-17.6167,-66.0167,Hacienda castillo
170,Tambacounda,SN,86.05,clear sky,13.7539,-13.7586,
171,Lorengau,PG,83.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
172,Nizwá,OM,75.54,clear sky,22.9333,57.5333,Orient Apartments
174,Hobyo,SO,76.59,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
177,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
179,Bata,GQ,76.37,broken clouds,1.8639,9.7658,Hotel Elik Melen
183,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
188,Itarema,BR,78.15,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
195,Thinadhoo,MV,80.92,overcast clouds,0.5333,72.9333,
196,Envira,BR,80.91,broken clouds,-7.3,-70.2167,
198,Ban Tak,TH,77.22,overcast clouds,17.0432,99.0813,Bansuansiriwat
202,Lincoln,US,78.28,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
203,Namatanai,PG,82.65,light rain,-3.6667,152.4333,Seagulls Inn Namatani
205,Agadez,NE,85.75,clear sky,19.75,10.25,
206,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
209,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
210,Atambua,ID,75.25,overcast clouds,-9.1061,124.8925,Ros Muskanan
216,Savannah Bight,HN,82.96,broken clouds,16.45,-85.85,Villa on Dunbar Rock
219,Kutum,SD,79.47,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
221,Saint George,US,87.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
223,Gamba,GA,75.33,scattered clouds,-2.65,10.0,
225,Puntarenas,CR,82.83,broken clouds,9.9763,-84.8384,Hotel Don Robert
227,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
228,Faanui,PF,77.32,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
229,Sarangani,PH,82.78,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
230,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
232,Pochutla,MX,86.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
238,Morros,BR,87.33,few clouds,-9.4467,-46.3003,
241,Hambantota,LK,78.76,overcast clouds,6.1241,81.1185,Bungalow 63
252,Cueto,CU,77.52,overcast clouds,20.6439,-75.9356,
253,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
257,Sur,OM,78.71,clear sky,22.5667,59.5289,Sur Plaza Hotel
261,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
262,Ugoofaaru,MV,81.77,overcast clouds,5.6667,73.0,Ungoofaaru Inn
263,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
265,Manadhoo,MV,81.68,overcast clouds,5.7667,73.3833,Bon Abri maldives
266,Aripuanã,BR,76.05,light rain,-9.1667,-60.6333,
267,Los Llanos de Aridane,ES,78.12,broken clouds,28.6585,-17.9182,Valle Aridane
268,Kirakira,SB,83.98,scattered clouds,-10.4544,161.9205,SanBiz Lodge
274,Palmerston,AU,79.93,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
275,Mīrābād,AF,77.18,clear sky,30.4362,61.8383,
278,Buraidah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
279,Río Cuarto,AR,76.77,clear sky,-33.1307,-64.3499,Hotel Menossi
283,Catuday,PH,79.54,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
284,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
290,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
292,Celestún,MX,80.94,broken clouds,20.8667,-90.4,Posada Lilia
294,Batticaloa,LK,80.47,overcast clouds,7.7102,81.6924,Grand Star Guest House
295,Tual,ID,81.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
297,Nyimba,ZM,76.96,clear sky,-14.5566,30.8149,Dali Dali Lodge
298,Nouadhibou,MR,76.98,broken clouds,20.931,-17.0347,El Medina
299,Cockburn Town,TC,84.04,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
301,San Andrés,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
305,The Valley,AI,83.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
308,Soyo,AO,75.67,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
311,Kerema,PG,81.18,overcast clouds,-7.9631,145.7785,Frena Lodge
318,Phon,TH,78.98,broken clouds,15.816,102.5998,Baan Kru Tum Chiang Khan
320,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
321,Monticello,US,76.8,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
330,Hailey,US,76.87,clear sky,43.5196,-114.3153,Wood River Inn & Suites
332,Urucará,BR,83.46,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
340,Eureka,US,85.75,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
343,Manono,CD,75.27,broken clouds,-7.3,27.4167,Hotel hewa bora
348,Satipo,PE,79.48,light rain,-11.2522,-74.6386,Bungalows El Palmiche
352,Alta Floresta,BR,76.86,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
353,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
360,Lompoc,US,85.01,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
362,Doha,QA,85.98,clear sky,25.2867,51.5333,Mövenpick Doha
363,Monrovia,LR,76.77,broken clouds,6.3005,-10.7969,Sunset Inn
365,Voh,NC,77.58,clear sky,-20.9667,164.7,Le gîte du Koniambo
367,Kloulklubed,PW,79.3,moderate rain,7.0419,134.2556,Storyboard Beach Resort
369,Shimoda,JP,77.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
379,Camargo,MX,79.34,clear sky,27.6667,-105.1667,Hotel Santa Fe
381,Beira,MZ,75.29,clear sky,-19.8436,34.8389,Beira Terrace Hotel
383,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
386,Guangzhou,CN,82.35,scattered clouds,23.1167,113.25,Shangjiuwan Hotel
388,Kokopo,PG,83.7,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
