,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hasaki,JP,35.7333,140.8333,75.6,82,87,19.06,overcast clouds
1,Busselton,AU,-33.65,115.3333,55.81,73,93,13.38,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,69.71,64,68,24.27,broken clouds
3,Saint Anthony,US,45.0205,-93.218,75.92,44,100,9.22,overcast clouds
4,Springbok,ZA,-29.6643,17.8865,49.5,57,0,1.61,clear sky
5,Belyy Yar,RU,53.6039,91.3903,26.49,86,0,4.47,clear sky
6,Hilo,US,19.7297,-155.09,91.27,64,20,11.5,few clouds
7,Lermontovka,RU,47.1453,134.3383,30.61,65,0,4.74,clear sky
8,Berlevåg,NO,70.8578,29.0864,42.75,75,100,9.22,overcast clouds
9,Norman Wells,CA,65.282,-126.8329,39.99,74,88,11.68,overcast clouds
10,Fort Nelson,CA,58.8053,-122.7002,54.39,42,74,4.41,broken clouds
11,Guerrero Negro,MX,27.9769,-114.0611,75.43,64,20,11.61,few clouds
12,Katherine,AU,-14.4667,132.2667,73.72,88,2,3.44,clear sky
13,Port Lincoln,AU,-34.7333,135.8667,58.8,89,27,8.41,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,51.46,54,40,10.36,scattered clouds
15,Cape Town,ZA,-33.9258,18.4232,62.38,59,2,1.99,clear sky
16,Mataura,NZ,-46.1927,168.8643,38.48,100,100,9.51,light rain
17,Sitka,US,57.0531,-135.33,66.09,32,75,13.8,broken clouds
18,Arraial do Cabo,BR,-22.9661,-42.0278,71.46,83,75,5.75,broken clouds
19,Atuona,PF,-9.8,-139.0333,76.55,70,18,20.45,few clouds
20,Albany,US,42.6001,-73.9662,54.41,69,100,3.18,overcast clouds
21,Villamaría,CO,5.0449,-75.5146,63.81,91,92,2.73,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,51.91,62,0,16.11,clear sky
23,Hermanus,ZA,-34.4187,19.2345,51.8,69,2,0.38,clear sky
24,Mahébourg,MU,-20.4081,57.7,71.26,77,37,11.61,scattered clouds
25,Lieksa,FI,63.3167,30.0167,44.82,96,100,2.3,overcast clouds
26,Avarua,CK,-21.2078,-159.775,78.85,69,40,21.85,scattered clouds
27,Ca Mau,VN,9.1769,105.15,76.55,93,100,4.14,heavy intensity rain
28,Leshukonskoye,RU,64.8989,45.7622,43.39,97,100,4.7,overcast clouds
29,Saskylakh,RU,71.9167,114.0833,22.87,96,100,4.88,light snow
30,Bengkulu,ID,-3.8004,102.2655,75.15,91,100,4.83,overcast clouds
31,Muroto-misakicho,JP,33.2833,134.15,75.76,81,29,18.54,scattered clouds
32,Khovd,MN,48.0056,91.6419,26.62,34,20,0.4,few clouds
33,Sinnamary,GF,5.3833,-52.95,80.08,80,54,12.03,broken clouds
34,Tasiilaq,GL,65.6145,-37.6368,35.76,65,49,7.47,scattered clouds
35,Hobart,AU,-42.8794,147.3294,49.26,78,75,8.05,broken clouds
36,Yellowknife,CA,62.456,-114.3525,41.54,39,14,8.55,few clouds
