City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Selkirk,CA,2022-09-26 23:56:13,50.1436,-96.8845,59.14,61,82,7.14
1,Barrow,US,2022-09-26 23:56:16,71.2906,-156.7887,28.74,77,100,14.38
2,Mar Del Plata,AR,2022-09-26 23:56:19,-38.0023,-57.5575,57.22,92,96,5.75
3,Bambous Virieux,MU,2022-09-26 23:56:22,-20.3428,57.7575,71.85,68,75,17.27
4,Dingle,PH,2022-09-26 23:56:26,10.9995,122.6711,80.94,84,99,10.96
5,Albany,US,2022-09-26 23:56:01,42.6001,-73.9662,57.92,88,32,4.76
6,Lata,PT,2022-09-26 23:56:30,40.1629,-8.3327,62.82,94,2,0.98
7,Vaini,TO,2022-09-26 23:56:34,-21.2,-175.2,80.76,78,40,8.05
8,Rio Grande,BR,2022-09-26 23:54:33,-32.035,-52.0986,62.71,87,55,5.55
9,Abha,SA,2022-09-26 23:56:41,18.2164,42.5053,66.02,24,0,6.91
10,Qaanaaq,GL,2022-09-26 23:56:45,77.484,-69.3632,24.66,79,82,6.76
11,Kaitangata,NZ,2022-09-26 23:56:50,-46.2817,169.8464,61.0,64,100,2.01
12,Jinxiang,CN,2022-09-26 23:56:52,27.4327,120.6062,75.22,76,97,9.69
13,Cidreira,BR,2022-09-26 23:56:56,-30.1811,-50.2056,63.82,84,77,8.32
14,Ostrovnoy,RU,2022-09-26 23:56:59,68.0531,39.5131,37.51,81,100,7.16
15,Isangel,VU,2022-09-26 23:52:49,-19.55,169.2667,82.51,78,40,4.61
16,Hobart,AU,2022-09-26 23:56:01,-42.8794,147.3294,60.06,80,75,1.14
17,Pisco,PE,2022-09-26 23:55:01,-13.7,-76.2167,62.65,72,100,6.91
18,Hasaki,JP,2022-09-26 23:57:08,35.7333,140.8333,79.21,70,0,12.41
19,Mataura,NZ,2022-09-26 23:57:11,-46.1927,168.8643,49.48,80,100,1.97
20,Port Elizabeth,ZA,2022-09-26 23:54:41,-33.918,25.5701,62.1,97,100,16.11
21,Kapaa,US,2022-09-26 23:57:16,22.0752,-159.319,85.19,65,13,3.0
22,Butaritari,KI,2022-09-26 23:57:22,3.0707,172.7902,82.15,72,23,17.94
23,Bredasdorp,ZA,2022-09-26 23:57:25,-34.5322,20.0403,52.07,91,47,4.94
24,Nikolayevsk-Na-Amure,RU,2022-09-26 23:57:27,53.1406,140.73,47.64,69,83,10.25
25,Atuona,PF,2022-09-26 23:57:30,-9.8,-139.0333,76.08,80,34,19.08
26,Punta Arenas,CL,2022-09-26 23:57:33,-53.15,-70.9167,41.11,70,0,8.05
27,Yellowknife,CA,2022-09-26 23:57:36,62.456,-114.3525,50.56,66,75,12.66
28,Trincomalee,LK,2022-09-26 23:57:39,8.5711,81.2335,79.11,82,83,12.93
29,Arraial Do Cabo,BR,2022-09-26 23:57:42,-22.9661,-42.0278,67.96,94,100,18.41
30,Amapa,BR,2022-09-26 23:57:46,1.0,-52.0,74.35,79,62,3.42
31,Upernavik,GL,2022-09-26 23:57:49,72.7868,-56.1549,34.29,74,35,7.23
32,Saint-Philippe,RE,2022-09-26 23:57:53,-21.3585,55.7679,65.79,74,43,13.71
33,Rikitea,PF,2022-09-26 23:57:56,-23.1203,-134.9692,68.16,57,34,5.32
34,Moissala,TD,2022-09-26 23:57:58,8.3404,17.7663,71.06,97,100,3.47
35,Inuvik,CA,2022-09-26 23:54:08,68.3499,-133.7218,38.16,78,75,14.97
36,Port Alfred,ZA,2022-09-26 23:58:03,-33.5906,26.891,60.19,95,100,8.01
37,Owerri,NG,2022-09-26 23:58:06,5.4833,7.0304,71.82,99,100,3.89
38,Anjar,IN,2022-09-26 23:57:19,23.1333,70.0167,77.79,70,22,6.62
39,Cherskiy,RU,2022-09-26 23:58:14,68.75,161.3,33.46,51,14,4.9
40,Dikson,RU,2022-09-26 23:58:20,73.5069,80.5464,33.04,73,93,13.18
41,Berlevag,NO,2022-09-26 23:58:22,70.8578,29.0864,44.6,87,40,2.3
42,Yerbogachen,RU,2022-09-26 23:58:26,61.2767,108.0108,29.98,96,100,6.08
43,Khatanga,RU,2022-09-26 23:58:31,71.9667,102.5,23.45,98,90,8.77
44,Dire Dawa,ET,2022-09-26 23:59:35,9.5931,41.8661,70.97,67,96,10.04
45,Port Blair,IN,2022-09-26 23:59:39,11.6667,92.75,80.53,81,86,11.39
46,Torit,SS,2022-09-26 23:59:42,4.4133,32.5678,69.76,80,27,0.63
47,Bluff,NZ,2022-09-26 23:59:46,-46.6,168.3333,49.8,92,100,2.86
48,Middletown,US,2022-09-26 23:55:20,39.5151,-84.3983,63.3,55,75,6.91
